ID,Site,Start_date,End_date,Midpoint,RoofedArea,Value
1,Great Holts Farm,250,360,305,405,6.003887067106539
2,Great Holts Farm,250,360,305,64.80000305,4.171305650426129
3,Great Holts Farm,250,360,305,288,5.662960480135946
4,Strood Hall,270,375,322.5,112,4.718498871295094
5,East of Little Dunmow Road,-100,60,-20,78.5,4.363098624788363
6,East of Little Dunmow Road,-100,60,-20,78.5,4.363098624788363
7,Little Oakley,150,350,250,428,6.059123195581797
8,Little Oakley,50,70,60,287,5.659482215759621
9,Orsett 'Cock',50,100,75,37.09999847,3.6136169283734967
10,Orsett 'Cock',50,100,75,31.89999962,3.462605997878573
11,Orsett 'Cock',-100,50,-25,31.299999239999998,3.443618073264957
12,Orsett 'Cock',75,175,125,51.79999924,3.9473901345936224
13,Orsett 'Cock',75,175,125,330,5.799092654460526
14,Orsett 'Cock',175,325,250,95.09999847,4.554928953463016
15,Orsett 'Cock',50,100,75,29.10000038,3.370738187235866
16,Orsett 'Cock',43,60,51.5,243.3000031,5.494295262530948
17,Orsett 'Cock',175,325,250,16,2.772588722239781
18,Orsett 'Cock',175,325,250,12.600000380000001,2.5336968441161623
19,Orsett 'Cock',50,100,75,86.59999847,4.461299797900953
20,Stansted 85-91 (ACS),-50,-25,-37.5,95,4.553876891600541
21,Stansted 85-91 (ACS),-50,40,-5,78.5,4.363098624788363
22,Stansted 85-91 (ACS),-30,40,5,176.6999969,5.174453361781791
23,Stansted 85-91 (ACS),-75,-25,-50,40.70000076,3.7062281111217676
24,Stansted 85-91 (ACS),-70,-40,-55,132.6999969,4.888090917977197
25,Stansted 85-91 (ACS),-50,75,12.5,47.79999924,3.8670256235978284
26,Stansted 85-91 (ACS),-75,75,0,91.59999847,4.517431254977028
27,Stansted 85-91 (ACS),-75,75,0,109.4000015,4.695010903699033
28,Stansted 85-91 (ACS),-75,-50,-62.5,24,3.1780538303479458
29,Stansted 85-91 (ACS),-75,75,0,103.8000031,4.642466000596913
30,Stansted 85-91 (ACS),-75,75,0,95,4.553876891600541
31,Stansted 85-91 (ACS),-50,40,-5,75,4.31748811353631
32,Chignall,120,245,182.5,122.8000031,4.810557040957342
33,Chignall,-100,75,-12.5,138.8999939,4.933754205843811
34,Chignall,75,120,97.5,114,4.736198448394496
35,"Frogs Hall Borrow Pit, Takeley",350,400,375,56.79999924,4.039536312346824
36,Ardale,-100,350,125,122.6999969,4.809742326451992
37,Billericay,1,350,175.5,314.2000122,5.750029764650291
38,Hill Farm,75,400,237.5,662.4000244,6.495869639906798
39,Curry Hill,100,275,187.5,91,4.51085950651685
40,Little Waltham,-25,0,-12.5,143.8000031,4.968423466844665
41,Little Waltham,-125,50,-37.5,203.6000061,5.316157314637074
42,Cressing Churchyard,75,100,87.5,40,3.6888794541139363
43,Cressing Churchyard,150,225,187.5,120.4000015,4.790819545333193
44,Kelvedon,100,400,250,58.90000153,4.075841116633772
45,Kelvedon,-100,50,-25,13.5,2.6026896854443837
46,Kelvedon,-100,50,-25,44,3.784189633918261
47,Kelvedon,-100,50,-25,105,4.653960350157523
48,"Ship Lane, Aveley",50,125,87.5,78.5,4.363098624788363
49,Mucking,-100,400,150,25,3.2188758248682006
50,Mucking,-100,400,150,22,3.091042453358316
51,Mucking,-100,400,150,32.79999924,3.490428492219366
52,Mucking,-100,400,150,154,5.0369526024136295
53,Mucking,-100,400,150,36,3.58351893845611
54,Mucking,-100,400,150,6.599999905,1.8870696346384404
55,Mucking,-100,400,150,32,3.4657359027997265
56,Mucking,-100,400,150,55.59999847,4.018183173738551
57,Mucking,-100,400,150,50,3.912023005428146
58,Mucking,-100,400,150,136,4.912654885736052
59,Mucking,-100,400,150,40,3.6888794541139363
60,Mucking,-100,400,150,139.1000061,4.935193142782739
61,Mucking,-100,400,150,104.0999985,4.645351961211701
62,Mucking,-100,400,150,26.799999239999998,3.2884018591586015
63,"Old House Site, Harlow",100,400,250,143.1000061,4.963543729189937
64,Rayne,75,125,100,78.5,4.363098624788363
65,Rayne,75,125,100,45.70000076,3.822098314530356
66,Rivenhall,200,400,300,971.2999878,6.8786353678477985
67,Rivenhall,100,400,250,585.7999878,6.372978413567412
68,Rivenhall,100,400,250,719.7999878,6.578973378695777
69,Nazeingbury,1,150,75.5,44.20000076,3.7887248062782226
70,Nazeingbury,69,150,109.5,378,5.934894195619588
71,Great Dumnow,375,400,387.5,32,3.4657359027997265
72,"Abbotstone Field, Warren Lane, Stanway",-100,200,50,120,4.787491742782046
73,"Maltings Lane, Witham",200,300,250,90,4.499809670330265
74,"London Gateway, Stanford Wharf Nature Reserve, Stanford-le-Hope",250,400,325,64,4.1588830833596715
75,Passingford,150,250,200,113.0999985,4.728272369859475
76,Passingford,1,50,25.5,162.8999939,5.093136478161712
77,Passingford,1,50,25.5,15,2.70805020110221
78,Passingford,1,400,200.5,12.30000019,2.5095992778255263
79,Passingford,1,50,25.5,109.4000015,4.695010903699033
80,Heybridge,0,50,25,28.299999239999998,3.342861777794068
81,Heybridge,0,50,25,23.799999239999998,3.1696855487446554
82,Heybridge,0,50,25,21.200000760000002,3.054001217527023
83,Heybridge,-50,50,0,50.29999924,3.9180050619963493
84,Heybridge,50,150,100,176,5.170483995038151
85,Heybridge,100,150,125,72.30000305,4.280824171350057
86,Heybridge,0,50,25,28,3.332204510175204
87,Heybridge,50,100,75,40,3.6888794541139363
88,Heybridge,0,50,25,47.79999924,3.8670256235978284
89,Heybridge,-50,0,-25,50.29999924,3.9180050619963493
90,Heybridge,-50,0,-25,19.60000038,2.9755295856242263
91,Heybridge,0,50,25,22.89999962,3.1311368939663073
92,Heybridge,-50,0,-25,38.5,3.6506582412937387
93,Heybridge,-50,50,0,21.200000760000002,3.054001217527023
94,Heybridge,-50,50,0,44.20000076,3.7887248062782226
95,Heybridge,250,350,300,42,3.7376696182833684
96,Heybridge,150,200,175,60,4.0943445622221
97,Heybridge,0,50,25,26.39999962,3.273363995758331
98,Heybridge,150,200,175,14.399999619999999,2.6672281801930655
99,Heybridge,0,100,50,95,4.553876891600541
100,Heybridge,50,150,100,46,3.828641396489095
101,Heybridge,0,50,25,40.70000076,3.7062281111217676
102,Heybridge,50,100,75,69.40000153,4.239886889558868
103,Heybridge,50,150,100,14.30000019,2.660259550552575
104,Heybridge,0,50,25,154,5.0369526024136295
105,Heybridge,250,400,325,16.799999239999998,2.821378841171117
106,Heybridge,0,50,25,19.60000038,2.9755295856242263
107,Heybridge,0,50,25,24.60000038,3.2027464583854717
108,Heybridge,-50,0,-25,15,2.70805020110221
109,Heybridge,-50,0,-25,60,4.0943445622221
110,Heybridge,-50,50,0,28.299999239999998,3.342861777794068
111,Heybridge,0,50,25,16.60000038,2.8094027182540637
112,Ash Plantation (Site 2),100,300,200,54.09999847,3.990834157571474
113,Orton Longueville,-200,80,-60,95,4.553876891600541
114,Orton Longueville,-200,80,-60,120,4.787491742782046
115,Orton hall Farm,300,500,400,507.2000122,6.2289054271766435
116,Orton hall Farm,225,500,362.5,203,5.313205979041787
117,"Plant's Farm, Maxey",-100,100,0,143.1000061,4.963543729189937
118,Bluntisham,1,125,63,49,3.8918202981106265
119,Hurst Lane Reservoir,-100,50,-25,27.299999239999998,3.3068866743520857
120,Hurst Lane Reservoir,50,150,100,100,4.605170185988092
121,Hurst Lane Reservoir,-100,50,-25,40.70000076,3.7062281111217676
122,Hurst Lane Reservoir,-100,50,-25,40.70000076,3.7062281111217676
123,Hurst Lane Reservoir,50,150,100,100,4.605170185988092
124,Hurst Lane Reservoir,-100,50,-25,23.799999239999998,3.1696855487446554
125,Hurst Lane Reservoir,-100,50,-25,49,3.8918202981106265
126,Hurst Lane Reservoir,-100,50,-25,65,4.174387269895637
127,Hurst Lane Reservoir,-100,50,-25,153.8999939,5.036303001208705
128,Hurst Lane Reservoir,-100,50,-25,59.5,4.085976312551584
129,Hurst Lane Reservoir,50,150,100,110,4.700480365792417
130,Hurst Lane Reservoir,-100,50,-25,113.0999985,4.728272369859475
131,Hurst Lane Reservoir,-100,50,-25,69.40000153,4.239886889558868
132,Hurst Lane Reservoir,-100,50,-25,132.6999969,4.888090917977197
133,Hurst Lane Reservoir,-100,50,-25,54.09999847,3.990834157571474
134,Hurst Lane Reservoir,-100,50,-25,113.0999985,4.728272369859475
135,Hurst Lane Reservoir,-100,50,-25,38.5,3.6506582412937387
136,Hurst Lane Reservoir,-100,50,-25,176.6999969,5.174453361781791
137,Hurst Lane Reservoir,-100,50,-25,176.6999969,5.174453361781791
138,Hurst Lane Reservoir,50,150,100,60,4.0943445622221
139,Hurst Lane Reservoir,-100,50,-25,17.39999962,2.8564701843814024
