"sweep","rep","N","slope_condition","lab_error","window","growth_ratio","dataset_id","seed","intercept","sigma","slope","window_start","window_end","pad","grid_step","time_ref_min","time_ref_range"
"core",1,50,"random",30,"plateau",1,1,1,11.4543488945346,3.59902171138674,0.00360377213917672,-800,-400,588,5,-1388,1576
"core",2,50,"random",30,"plateau",1,2,2,3.8496537359897,2.14541489689145,-0.0133305331226438,-800,-400,588,5,-1388,1576
"core",3,50,"random",30,"plateau",1,3,3,6.35197916999459,3.37824691052083,-0.0198404050525278,-800,-400,588,5,-1388,1576
"core",4,50,"random",30,"plateau",1,4,4,13.5931692412123,2.37589855736587,-0.0211729315342382,-800,-400,588,5,-1388,1576
"core",5,50,"random",30,"plateau",1,5,5,13.6462552226149,3.36883660359308,0.0161784040136263,-800,-400,588,5,-1388,1576
"core",6,50,"random",30,"plateau",1,6,6,5.8306319960393,2.57866825873498,0.00267851524986327,-800,-400,588,5,-1388,1576
"core",7,50,"random",30,"plateau",1,7,7,13.9039765703492,1.12827626068611,-0.00111821429338306,-800,-400,588,5,-1388,1576
"core",8,50,"random",30,"plateau",1,8,8,6.9858592657838,3.6868906969903,-0.0247623401228338,-800,-400,588,5,-1388,1576
"core",9,50,"random",30,"plateau",1,9,9,11.0595286935568,2.7355791432783,0.0178704574238509,-800,-400,588,5,-1388,1576
"core",10,50,"random",30,"plateau",1,10,10,11.8064524773508,1.54877695720643,0.0235431319009513,-800,-400,588,5,-1388,1576
"core",11,50,"random",30,"plateau",1,11,11,4.27664958452806,1.42199635889847,-0.0192065159417689,-800,-400,588,5,-1388,1576
"core",12,50,"random",30,"plateau",1,12,12,6.48427090747282,2.25423575181048,-0.00300969535019249,-800,-400,588,5,-1388,1576
"core",13,50,"random",30,"plateau",1,13,13,2.83668928872794,1.37715472560376,-0.00663555028382689,-800,-400,588,5,-1388,1576
"core",14,50,"random",30,"plateau",1,14,14,7.96425809944049,2.5615584285697,-0.0207131827203557,-800,-400,588,5,-1388,1576
"core",15,50,"random",30,"plateau",1,15,15,10.6021714240778,1.80061108828522,0.0114712892705575,-800,-400,588,5,-1388,1576
"core",16,50,"random",30,"plateau",1,16,16,14.1801412992645,3.25247924518771,-0.0104809614876285,-800,-400,588,5,-1388,1576
