"rep","N","slope_condition","prop_coarse_samples","coarse_frac","growth_ratio","precision_trend","sweep","dataset_id","seed","intercept","sigma","slope","period_start","period_end","fine_frac","time_ref_min","time_ref_range"
1,50,"random",0.5,0.25,1,0,"core",1,1,11.0827551214024,1.24321827269159,0.0110427820729092,100,900,0.0625,-332,1664
2,50,"random",0.5,0.25,1,0,"core",2,2,9.2348965764977,1.7900015336927,0.0127523281099275,100,900,0.0625,-332,1664
3,50,"random",0.5,0.25,1,0,"core",3,3,3.82181944954209,3.54668734571896,0.0236908033071086,100,900,0.0625,-332,1664
4,50,"random",0.5,0.25,1,0,"core",4,4,5.71440298110247,2.42841122881509,0.0147762578632683,100,900,0.0625,-332,1664
5,50,"random",0.5,0.25,1,0,"core",5,5,9.21979712950997,1.49384108080994,0.0149453287292272,100,900,0.0625,-332,1664
6,50,"random",0.5,0.25,1,0,"core",6,6,2.32670495496131,3.91534000018146,-0.00422787813004106,100,900,0.0625,-332,1664
7,50,"random",0.5,0.25,1,0,"core",7,7,8.06099721463397,3.56601280195173,0.00366327406838536,100,900,0.0625,-332,1664
8,50,"random",0.5,0.25,1,0,"core",8,8,13.1931389062665,1.836899346672,0.00862661646679044,100,900,0.0625,-332,1664
9,50,"random",0.5,0.25,1,0,"core",9,9,5.2825153239537,1.38858423661441,-0.0230067866714671,100,900,0.0625,-332,1664
10,50,"random",0.5,0.25,1,0,"core",10,10,9.55048238486052,0.96129466756247,-0.0243341773096472,100,900,0.0625,-332,1664
11,50,"random",0.5,0.25,1,0,"core",11,11,2.07713233865798,3.61557456059381,0.010013734200038,100,900,0.0625,-332,1664
12,50,"random",0.5,0.25,1,0,"core",12,12,10.9942572184373,1.82003173057456,0.0293311197124422,100,900,0.0625,-332,1664
13,50,"random",0.5,0.25,1,0,"core",13,13,5.00462561054155,1.73181994608603,-0.0251164783397689,100,900,0.0625,-332,1664
14,50,"random",0.5,0.25,1,0,"core",14,14,13.0309220093768,3.95089140965138,0.0229550707479939,100,900,0.0625,-332,1664
15,50,"random",0.5,0.25,1,0,"core",15,15,3.99985812976956,2.20443384244572,0.0197690575104207,100,900,0.0625,-332,1664
