"sweep","rep","N","slope_condition","merge_max","dataset_id","seed","intercept","sigma","slope","K","alpha_conc","t_min","t_max","time_ref_min","time_ref_range"
"core",1,50,"random",3,1,1,11.0827551214024,3.36239572416525,0.0178956262674183,6,1.341419982838,100,900,100,800
"core",2,50,"random",3,2,2,9.2348965764977,1.21284860174637,-0.00485980030149221,10,0.699302492548254,100,900,100,800
"core",3,50,"random",3,3,3,3.82181944954209,2.53771955391858,0.0185551993176341,7,4.75666833660151,100,900,100,800
"core",4,50,"random",3,4,4,5.71440298110247,2.1663780901581,0.00933446323033423,6,0.477793404990319,100,900,100,800
"core",5,50,"random",3,5,5,9.21979712950997,2.97834980092011,-0.0237476426688954,7,2.16894506904446,100,900,100,800
"core",6,50,"random",3,6,6,2.32670495496131,1.30180182226468,0.0217590306932107,7,3.05610957038223,100,900,100,800
"core",7,50,"random",3,7,7,8.06099721463397,1.94296442728955,-0.022417902094312,10,0.513099381684554,100,900,100,800
"core",8,50,"random",3,8,8,13.1931389062665,3.02754986460786,0.00492008797824383,10,1.0508234564716,100,900,100,800
"core",9,50,"random",3,9,9,5.2825153239537,1.36689261812717,-0.0185974019626155,6,0.253034130357845,100,900,100,800
"core",10,50,"random",3,10,10,9.55048238486052,2.17375493783038,-0.0280038313055411,6,2.41959205946127,100,900,100,800
"core",11,50,"random",3,11,11,2.07713233865798,3.7474236212438,0.00931367411278188,5,1.25046017769811,100,900,100,800
"core",12,50,"random",3,12,12,10.9942572184373,2.63129491289146,0.00582076845690608,5,0.142317627221145,100,900,100,800
"core",13,50,"random",3,13,13,5.00462561054155,1.17971415095963,-0.0250565798487514,8,0.61316164813898,100,900,100,800
"core",14,50,"random",3,14,14,13.0309220093768,3.97252774401568,-0.00735936137381941,10,0.965309756089844,100,900,100,800
"core",15,50,"random",3,15,15,3.99985812976956,1.24110476102214,0.0174858674034476,5,1.57855239887666,100,900,100,800
"core",16,50,"random",3,16,16,6.63852109247819,2.58920752431732,0.0172473095823079,6,0.559993813742538,100,900,100,800
"core",17,50,"random",3,17,17,9.08765855408274,1.36319509625901,-0.0259481582650915,7,0.197379181602617,100,900,100,800
"core",18,50,"random",3,18,18,2.01556897908449,2.16547253425233,0.00807362913619727,7,0.478281280701175,100,900,100,800
"core",19,50,"random",3,19,19,6.13171836873516,3.88002380472608,0.00965517730917782,6,4.57391233007468,100,900,100,800
"core",20,50,"random",3,20,20,2.22476159897633,0.702608396997675,-0.00216843587346375,7,0.209102489208292,100,900,100,800
"core",21,50,"random",3,21,21,6.4402543369215,2.10401285917033,-0.00240659127943218,7,0.211937565598655,100,900,100,800
