Year,True_value
100,8
101,8.02
102,8.04
103,8.06
104,8.08
105,8.1
106,8.12
107,8.14
108,8.16
109,8.18
110,8.2
111,8.22
112,8.24
113,8.26
114,8.28
115,8.3
116,8.32
117,8.34
118,8.36
119,8.38
120,8.4
121,8.42
122,8.44
123,8.46
124,8.48
125,8.5
126,8.52
127,8.54
128,8.56
129,8.58
130,8.6
131,8.62
132,8.64
133,8.66
134,8.68
135,8.7
136,8.72
137,8.74
138,8.76
139,8.78
140,8.8
141,8.82
142,8.84
143,8.86
144,8.88
145,8.9
146,8.92
147,8.94
148,8.96
149,8.98
150,9
151,9.02
152,9.04
153,9.06
154,9.08
155,9.1
156,9.120000000000001
157,9.14
158,9.16
159,9.18
160,9.2
161,9.22
162,9.24
163,9.26
164,9.28
165,9.3
166,9.32
167,9.34
168,9.36
169,9.38
170,9.4
171,9.42
172,9.44
173,9.46
174,9.48
175,9.5
176,9.52
177,9.54
178,9.56
179,9.58
180,9.6
181,9.620000000000001
182,9.64
183,9.66
184,9.68
185,9.7
186,9.72
187,9.74
188,9.76
189,9.78
190,9.8
191,9.82
192,9.84
193,9.86
194,9.88
195,9.9
196,9.92
197,9.94
198,9.96
199,9.98
200,10
201,10.02
202,10.04
203,10.06
204,10.08
205,10.1
206,10.120000000000001
207,10.14
208,10.16
209,10.18
210,10.2
211,10.22
212,10.24
213,10.26
214,10.280000000000001
215,10.3
216,10.32
217,10.34
218,10.36
219,10.379999999999999
220,10.4
221,10.42
222,10.44
223,10.46
224,10.48
225,10.5
226,10.52
227,10.54
228,10.56
229,10.58
230,10.6
231,10.620000000000001
232,10.64
233,10.66
234,10.68
235,10.7
236,10.72
237,10.74
238,10.76
239,10.780000000000001
240,10.8
241,10.82
242,10.84
243,10.86
244,10.879999999999999
245,10.9
246,10.92
247,10.94
248,10.96
249,10.98
250,11
251,11.02
252,11.04
253,11.06
254,11.08
255,11.1
256,11.120000000000001
257,11.14
258,11.16
259,11.18
260,11.2
261,11.22
262,11.24
263,11.26
264,11.280000000000001
265,11.3
266,11.32
267,11.34
268,11.36
269,11.379999999999999
270,11.4
271,11.42
272,11.44
273,11.46
274,11.48
275,11.5
276,11.52
277,11.54
278,11.56
279,11.58
280,11.6
281,11.620000000000001
282,11.64
283,11.66
284,11.68
285,11.7
286,11.72
287,11.74
288,11.76
289,11.780000000000001
290,11.8
291,11.82
292,11.84
293,11.86
294,11.879999999999999
295,11.9
296,11.92
297,11.94
298,11.96
299,11.98
300,12
301,12.02
302,12.04
303,12.06
304,12.08
305,12.1
306,12.120000000000001
307,12.14
308,12.16
309,12.18
310,12.2
311,12.219999999999999
312,12.24
313,12.26
314,12.280000000000001
315,12.3
316,12.32
317,12.34
318,12.36
319,12.379999999999999
320,12.4
321,12.42
322,12.440000000000001
323,12.46
324,12.48
325,12.5
326,12.52
327,12.54
328,12.56
329,12.58
330,12.600000000000001
331,12.620000000000001
332,12.64
333,12.66
334,12.68
335,12.7
336,12.719999999999999
337,12.74
338,12.76
339,12.780000000000001
340,12.8
341,12.82
342,12.84
343,12.86
344,12.879999999999999
345,12.9
346,12.92
347,12.940000000000001
348,12.96
349,12.98
350,13
351,13.02
352,13.04
353,13.06
354,13.08
355,13.100000000000001
356,13.120000000000001
357,13.14
358,13.16
359,13.18
360,13.2
361,13.219999999999999
362,13.24
363,13.26
364,13.280000000000001
365,13.3
366,13.32
367,13.34
368,13.36
369,13.379999999999999
370,13.4
371,13.42
372,13.440000000000001
373,13.46
374,13.48
375,13.5
376,13.52
377,13.54
378,13.56
379,13.58
380,13.600000000000001
381,13.620000000000001
382,13.64
383,13.66
384,13.68
385,13.7
386,13.719999999999999
387,13.74
388,13.76
389,13.780000000000001
390,13.8
391,13.82
392,13.84
393,13.86
394,13.879999999999999
395,13.9
396,13.92
397,13.940000000000001
398,13.96
399,13.98
400,14
401,14.02
402,14.04
403,14.06
404,14.08
405,14.100000000000001
406,14.120000000000001
407,14.14
408,14.16
409,14.18
410,14.2
411,14.219999999999999
412,14.24
413,14.26
414,14.280000000000001
415,14.3
416,14.32
417,14.34
418,14.36
