ID,Site_name,Start_date,End_date,True_date,Value
1,Site A,700,775,721.5683140093461,11.9
2,Site A,475,649,612.1650935672224,16.1
3,Site A,625,700,655.6732691358775,13
4,Site A,675,774,762.4187229964882,6.5
5,Site B,100,499,475.2464464332443,19.5
6,Site D,225,675,245.5004247254692,11.5
7,Site B,350,675,521.6342836152762,20
8,Site B,300,774,723.0066270427778,8.9
9,Site A,625,750,693.929376808228,13.2
10,Site D,625,800,704.9075786781032,9.4
11,Site C,625,724,719.7265011896379,12.6
12,Site D,575,700,631.6667695238721,10.6
13,Site C,650,799,750.9580246824771,6.1
14,Site D,625,675,653.6316700978205,20.4
15,Site A,400,475,407.7193511999212,18.4
16,Site A,200,424,401.56079337000847,20.1
17,Site B,350,375,356.1521933588665,19.2
18,Site D,450,475,451.05148833827116,18.8
19,Site B,600,700,632.7920719282702,14.5
20,Site B,125,574,553.5721384671051,18.1
21,Site C,700,799,788.0643922903109,8.2
22,Site C,225,724,570.7088996721432,16.5
23,Site A,100,650,452.2787475725636,19.9
24,Site A,425,524,523.4327078857459,23.8
25,Site C,475,724,638.2707439798396,11.1
26,Site D,500,699,640.9975631653797,10.1
27,Site A,350,575,472.414855560055,19.9
28,Site C,525,575,554.707101022359,17.9
29,Site A,650,675,657.2289934323635,13.2
30,Site A,125,575,191.20114129036665,9.1
31,Site D,325,499,492.56621646136045,16.8
32,Site B,175,374,354.5575099787675,20.7
33,Site D,575,724,677.9150864849798,10.4
34,Site D,450,524,508.86458890885115,16.8
35,Site C,250,275,250.61534211272374,11.9
36,Site B,500,525,511.9448992772959,18.4
37,Site A,200,524,445.740890157409,22.8
38,Site B,625,650,630.410198395839,13.5
39,Site D,575,775,638.6362015269697,14.8
40,Site B,525,575,536.5812892676331,16.7
41,Site C,300,575,339.2700061551295,17.4
42,Site C,350,500,412.1819503721781,18.8
43,Site B,225,450,318.0879734165501,16
44,Site B,325,650,444.87477155053057,17.8
45,Site D,300,475,326.67783085489646,12.9
46,Site D,650,700,656.9403031724505,17.1
47,Site D,550,650,573.3034099452198,17.7
48,Site B,300,575,428.1396738195326,16.7
49,Site B,350,500,389.8958960548043,17.4
50,Site A,550,574,570.5878651682287,13.4
51,Site D,600,675,603.4373375005089,20.2
52,Site A,175,525,329.77002597181126,19.6
53,Site D,325,599,543.9054077062756,17
54,Site B,625,775,643.284888996277,14.1
55,Site D,700,750,728.0473991879262,8.7
56,Site B,625,850,671.4695626636967,10.3
57,Site C,500,825,541.4477863290813,15.8
58,Site D,600,799,749.9082649962511,7.8
59,Site C,375,549,530.7378924926743,22.3
60,Site A,600,750,656.1694163829088,12
61,Site A,225,524,423.86944319377653,20.1
62,Site B,450,700,473.710165231023,20.4
63,Site B,300,625,424.79013228439726,22.9
64,Site B,325,700,427.89386671502143,18.6
65,Site B,675,849,816.7473667650484,5.9
66,Site B,525,725,614.7032682783902,18.3
67,Site D,650,699,689.6931532993913,9.8
68,Site C,250,724,635.0726275122724,11.3
69,Site B,425,749,682.3669120399281,8
70,Site A,375,625,484.95792190078646,16.4
71,Site B,600,699,674.693040705286,10
72,Site C,550,575,565.7305282889865,18.1
73,Site B,325,749,626.1173381730914,16.3
74,Site B,700,750,700.0312386662699,12.3
75,Site B,700,750,723.7658287049271,8.9
76,Site D,200,425,249.5267491613049,12.5
77,Site A,125,300,191.4678941015154,8.5
78,Site A,150,450,333.8313009822741,14.8
79,Site A,125,425,230.5393727729097,13.8
80,Site C,425,625,447.2270848695189,17.5
81,Site D,475,550,493.27146045397967,24.3
82,Site A,175,399,324.64445158839226,15.9
83,Site B,675,850,748.0881864437833,9.8
84,Site A,600,824,776.5558668226004,7
85,Site A,675,875,695.5729288514704,9.2
86,Site D,225,300,257.61695561232045,9.5
87,Site D,575,674,672.5107410184573,11
88,Site A,600,699,688.4120603254996,11.9
89,Site C,575,624,618.4369839786086,14.7
90,Site C,350,425,363.12894877046347,16
91,Site A,100,675,175.1500226499047,7.8
92,Site D,425,649,571.2948312088847,15.1
93,Site A,100,475,228.81867709802464,15.3
94,Site D,175,549,420.627539859619,16.9
95,Site D,400,625,472.08397955982946,19.4
96,Site B,225,475,271.9227798166685,18.2
97,Site A,625,749,722.0044933632016,9.6
98,Site D,375,525,389.039248006884,15.5
99,Site B,250,325,285.008428117726,12.4
100,Site B,375,550,464.51345548266545,21.2
101,Site B,200,700,499.9944796320051,18.3
102,Site D,525,775,608.2058850792237,13
103,Site A,250,325,286.6459775250405,13.3
104,Site B,400,774,756.9732114849612,9.4
105,Site A,625,775,697.43535957532,14.6
106,Site B,125,549,502.50849417969584,19
107,Site D,150,324,309.1122445226647,18
108,Site C,100,400,282.62049469631165,15.5
109,Site D,450,700,552.6724441326223,16.9
110,Site A,575,700,593.3868363674264,11.3
111,Site D,350,499,489.35967068723403,18.2
112,Site A,300,625,397.8993924916722,18
113,Site D,625,750,632.5900714437012,13.3
114,Site C,325,524,513.5976610674988,22.1
115,Site B,250,674,555.5328199341893,22.8
116,Site B,550,625,560.6720721698366,20.7
117,Site C,525,575,552.4642328033224,16.9
118,Site A,700,774,770.6027516531758,4.5
119,Site A,375,650,536.0079221078195,17
120,Site B,325,575,426.12757043680176,20.1
121,Site C,300,575,478.1707068148535,21.9
122,Site D,550,650,581.9820617092773,18.2
123,Site D,450,475,457.69300027168356,21.7
124,Site B,425,575,457.9651446896605,16.5
125,Site D,650,825,714.6605515212286,12.2
126,Site A,150,649,641.1253825316671,11.7
127,Site A,625,700,636.5651725616772,13.5
128,Site D,575,750,590.9326999797486,15.5
129,Site A,325,625,367.5720723345876,19.2
130,Site A,125,424,331.31212335196324,16.5
131,Site A,650,700,680.9628241695464,7
132,Site B,500,674,655.1025763838552,14
133,Site C,525,624,591.6269101684447,16.2
134,Site A,550,724,678.2515263990499,10.6
135,Site B,425,575,503.17035886691883,19.5
136,Site D,500,774,680.7957352111116,11.5
137,Site D,325,449,426.9038770580664,20.4
138,Site A,200,574,494.06930033583194,23.5
139,Site C,400,699,692.9667532930616,10.2
140,Site B,525,725,612.8863072488457,14.6
141,Site A,550,800,627.9255505185574,16.4
142,Site A,550,675,601.184369076509,17.4
143,Site B,325,525,327.0934223663062,19.1
144,Site A,475,550,488.78871430060826,18.1
145,Site A,125,449,398.0442993193865,24.2
146,Site C,175,575,267.46471282094717,13.4
147,Site D,700,750,711.9549977825955,14.8
148,Site B,250,475,267.2555122000631,9.8
149,Site C,100,375,167.57401145878248,9.7
150,Site B,425,799,698.8185668680817,13.7
151,Site B,575,674,658.8978633449879,10.2
152,Site D,625,725,674.7527267085388,9.5
153,Site A,550,650,588.7909029843286,13.1
154,Site C,375,550,418.12857397599146,17.1
155,Site A,550,650,561.1096461303532,15.7
156,Site A,225,375,283.4991652867757,14.8
157,Site A,375,550,475.0886799476575,14.8
158,Site C,700,750,710.8446381404065,10.7
159,Site C,325,425,369.47680020239204,21.3
160,Site D,250,600,326.2967340531759,21.3
