Year,True_value
100,6.5
101,6.515
102,6.53
103,6.545
104,6.5600000000000005
105,6.575
106,6.59
107,6.605
108,6.62
109,6.635
110,6.65
111,6.665
112,6.68
113,6.695
114,6.71
115,6.725
116,6.74
117,6.755
118,6.77
119,6.785
120,6.8
121,6.8149999999999995
122,6.83
123,6.845
124,6.859999999999999
125,6.875
126,6.89
127,6.905
128,6.92
129,6.935
130,6.95
131,6.965
132,6.98
133,6.995
134,7.01
135,7.025
136,7.04
137,7.055
138,7.07
139,7.085
140,7.1
141,7.115
142,7.13
143,7.145
144,7.16
145,7.175
146,7.1899999999999995
147,7.205
148,7.22
149,7.234999999999999
150,7.25
151,7.265000000000001
152,7.279999999999999
153,7.295
154,7.3100000000000005
155,7.324999999999999
156,7.34
157,7.355
158,7.37
159,7.385
160,7.4
161,7.415
162,7.43
163,7.445
164,7.46
165,7.475
166,7.49
167,7.505
168,7.52
169,7.535
170,7.55
171,7.5649999999999995
172,7.58
173,7.595
174,7.609999999999999
175,7.625
176,7.64
177,7.654999999999999
178,7.67
179,7.6850000000000005
180,7.699999999999999
181,7.715
182,7.73
183,7.745
184,7.76
185,7.775
186,7.79
187,7.805
188,7.82
189,7.835
190,7.85
191,7.865
192,7.88
193,7.895
194,7.91
195,7.925
196,7.9399999999999995
197,7.955
198,7.97
199,7.984999999999999
200,8
201,8.015
202,8.03
203,8.045
204,8.06
205,8.075
206,8.09
207,8.105
208,8.120000000000001
209,8.135
210,8.15
211,8.165
212,8.18
213,8.195
214,8.21
215,8.225
216,8.24
217,8.254999999999999
218,8.27
219,8.285
220,8.3
221,8.315
222,8.33
223,8.344999999999999
224,8.36
225,8.375
226,8.39
227,8.405
228,8.42
229,8.435
230,8.45
231,8.465
232,8.48
233,8.495
234,8.51
235,8.525
236,8.54
237,8.555
238,8.57
239,8.585
240,8.6
241,8.615
242,8.629999999999999
243,8.645
244,8.66
245,8.675
246,8.69
247,8.705
248,8.719999999999999
249,8.735
250,8.75
251,8.765
252,8.78
253,8.795
254,8.81
255,8.825
256,8.84
257,8.855
258,8.87
259,8.885
260,8.9
261,8.915
262,8.93
263,8.945
264,8.96
265,8.975
266,8.99
267,9.004999999999999
268,9.02
269,9.035
270,9.05
271,9.065
272,9.08
273,9.094999999999999
274,9.11
275,9.125
276,9.14
277,9.155000000000001
278,9.17
279,9.184999999999999
280,9.2
281,9.215
282,9.23
283,9.245000000000001
284,9.26
285,9.274999999999999
286,9.29
287,9.305
288,9.32
289,9.335
290,9.35
291,9.365
292,9.379999999999999
293,9.395
294,9.41
295,9.425
296,9.44
297,9.455
298,9.469999999999999
299,9.485
300,9.5
301,9.515
302,9.530000000000001
303,9.545
304,9.559999999999999
305,9.575
306,9.59
307,9.605
308,9.620000000000001
309,9.635
310,9.649999999999999
311,9.665
312,9.68
313,9.695
314,9.71
315,9.725
316,9.74
317,9.754999999999999
318,9.77
319,9.785
320,9.8
321,9.815
322,9.83
323,9.844999999999999
324,9.86
325,9.875
326,9.89
327,9.905000000000001
328,9.92
329,9.934999999999999
330,9.95
331,9.965
332,9.98
333,9.995000000000001
334,10.01
335,10.024999999999999
336,10.04
337,10.055
338,10.07
339,10.085
340,10.1
341,10.115
342,10.129999999999999
343,10.145
344,10.16
345,10.175
346,10.19
347,10.205
348,10.219999999999999
349,10.235
350,10.25
351,10.265
352,10.28
353,10.295
354,10.309999999999999
355,10.325
356,10.34
357,10.355
358,10.370000000000001
359,10.385
360,10.399999999999999
361,10.415
362,10.43
363,10.445
364,10.46
365,10.475
366,10.49
367,10.504999999999999
368,10.52
369,10.535
370,10.55
371,10.565
372,10.58
373,10.594999999999999
374,10.61
375,10.625
376,10.64
377,10.655
378,10.67
379,10.684999999999999
380,10.7
381,10.715
382,10.73
383,10.745000000000001
384,10.76
385,10.774999999999999
386,10.79
387,10.805
388,10.82
389,10.835
390,10.85
391,10.865
392,10.879999999999999
393,10.895
394,10.91
395,10.925
396,10.94
397,10.955
398,10.969999999999999
399,10.985
400,11
401,11.015
402,11.03
403,11.045
404,11.059999999999999
405,11.075
406,11.09
