ID,Site_name,Start_date,End_date,True_date,Value
1,Site B,334,650,491,10.4
2,Site B,312,634,403,10.7
3,Site B,140,280,249,9
4,Site D,266,559,355,9.7
5,Site B,592,832,716,15.9
6,Site B,653,858,751,15.8
7,Site B,309,575,514,15.1
8,Site A,212,310,228,9.5
9,Site B,278,522,386,15.2
10,Site D,267,524,402,9.8
11,Site C,166,354,256,10.1
12,Site D,628,889,765,19.6
13,Site B,338,660,559,13.8
14,Site D,162,294,208,6.5
15,Site A,229,418,388,9.3
16,Site D,544,867,842,17.6
17,Site D,238,572,274,11.1
18,Site B,562,655,581,14.8
19,Site B,647,840,741,12.9
20,Site A,678,895,748,15.2
21,Site C,310,623,458,11.9
22,Site C,376,475,434,9.3
23,Site D,166,503,241,9.7
24,Site B,233,558,472,8.4
25,Site C,505,588,517,13
26,Site B,657,861,799,16.4
27,Site B,326,495,371,9.8
28,Site C,510,824,644,14.2
29,Site A,544,729,677,15.6
30,Site A,480,774,619,14.9
31,Site D,593,860,683,14.9
32,Site A,101,388,170,4.7
33,Site D,201,370,238,6.4
34,Site C,319,571,380,8.5
35,Site D,599,660,633,15.6
36,Site B,343,636,552,12.9
37,Site B,494,556,501,12.9
38,Site B,316,434,377,8.3
39,Site C,496,810,764,15.7
40,Site A,266,497,431,12.3
41,Site B,359,525,411,10.9
42,Site D,156,338,177,7.5
43,Site D,683,753,723,15.7
44,Site B,268,601,545,15
45,Site C,125,306,219,7.4
46,Site A,119,447,347,11.2
47,Site B,569,878,723,17.2
48,Site B,309,548,394,9.1
49,Site B,478,810,798,17.2
50,Site C,616,849,831,17.4
51,Site D,385,538,416,12.8
52,Site D,471,628,621,15.7
53,Site D,146,318,296,9.4
54,Site C,186,466,381,10.9
55,Site C,639,710,675,14
56,Site D,352,622,482,11.9
57,Site A,477,727,527,11.4
58,Site C,758,866,769,15.1
59,Site C,432,565,495,10.6
60,Site B,380,584,444,12.9
61,Site B,409,658,601,15.7
62,Site A,403,738,705,15
63,Site C,247,520,339,8.4
64,Site C,670,889,850,17.6
65,Site C,423,721,489,15.7
66,Site C,500,613,587,16.9
67,Site B,509,645,585,11.2
68,Site B,570,862,694,14.9
69,Site D,313,567,526,15.2
70,Site C,294,421,330,9.9
71,Site C,166,238,200,10.4
72,Site C,326,425,403,10.5
73,Site B,615,736,625,15.3
74,Site D,163,357,240,8.9
75,Site A,586,701,597,18.8
76,Site A,621,882,656,16.2
77,Site A,249,311,263,7.1
78,Site B,169,334,214,7.3
79,Site A,133,337,194,8.5
80,Site B,714,774,736,13.2
81,Site C,435,658,545,10.5
82,Site C,427,531,518,11.1
83,Site B,333,494,454,11.3
84,Site B,257,498,487,14.2
85,Site D,414,691,506,12.2
86,Site D,577,795,757,16.6
87,Site B,166,291,183,7.6
88,Site B,789,874,800,15.9
89,Site B,221,305,282,11.3
90,Site C,156,301,236,6.9
91,Site A,576,823,726,15.5
92,Site D,488,548,495,11.9
93,Site D,548,666,651,15.6
94,Site C,210,531,480,14.6
95,Site B,447,766,462,12.7
96,Site B,362,628,550,15.3
97,Site A,724,877,806,18.2
98,Site D,640,844,833,16.6
99,Site C,393,661,637,14.7
100,Site A,143,376,249,10.8
101,Site A,113,348,293,7.1
102,Site B,449,570,510,13.1
103,Site D,528,649,553,13.1
104,Site B,364,533,485,13.6
105,Site C,519,843,768,17.6
106,Site D,151,481,384,11.2
107,Site D,622,889,673,17.3
108,Site D,242,507,321,7.5
109,Site B,150,360,218,9.6
110,Site C,385,446,420,8.9
111,Site B,171,402,375,11.5
112,Site B,394,688,652,14.9
113,Site D,227,497,331,11.4
114,Site D,543,730,681,15.3
115,Site A,186,396,353,7.9
116,Site A,190,400,342,7.1
117,Site A,292,352,315,10.5
118,Site C,598,758,646,14.6
119,Site D,342,573,355,9.5
120,Site B,130,422,327,9.4
121,Site B,174,334,206,7.1
122,Site A,402,577,511,12.4
123,Site A,667,888,698,14.1
124,Site B,567,792,651,11.8
125,Site B,392,654,474,11.8
126,Site C,146,317,285,10.8
127,Site D,325,642,442,14.4
128,Site A,260,590,405,11.1
129,Site A,565,690,620,14.2
130,Site A,376,639,534,14.5
131,Site C,351,664,477,12.2
132,Site A,412,641,631,13.8
133,Site A,352,589,582,11.1
134,Site C,140,462,434,9.6
135,Site B,567,865,592,14.5
136,Site C,110,332,216,6.1
137,Site A,311,601,409,12.7
138,Site B,261,353,323,7.8
139,Site A,152,426,326,9.6
140,Site C,373,608,575,13.6
141,Site B,554,656,651,14.7
142,Site C,761,843,808,17.3
143,Site A,321,511,423,12.2
144,Site B,546,824,808,16.9
145,Site B,261,526,497,12.1
146,Site D,338,627,457,12.1
