"rep","period_span","rise_level","dataset_id","seed","N","period_start","period_end","intercept","sigma","rise","slope","time_ref_min","time_ref_range","mean_width","coarseness"
1,200,4,1,1,200,100,300,11.0827551214024,2.85853830981068,-3.68074421025813,-0.0184037210512906,-100,600,125,0.625
2,200,4,2,2,200,100,300,9.2348965764977,2.30538886378054,3.6661488134414,0.018330744067207,-100,600,125,0.625
3,200,4,3,3,200,100,300,3.82181944954209,2.38703471398912,-1.47108724340796,-0.00735543621703982,-100,600,125,0.625
4,200,4,4,4,200,100,300,5.71440298110247,0.731659689801745,-1.03789216466248,-0.0051894608233124,-100,600,125,0.625
5,200,4,5,5,200,100,300,9.21979712950997,2.70790913782548,-2.74613710865378,-0.0137306855432689,-100,600,125,0.625
6,200,4,6,6,200,100,300,2.32670495496131,1.3712876085192,1.998276732862,0.00999138366430998,-100,600,125,0.625
7,200,4,7,7,200,100,300,8.06099721463397,2.12398496468086,0.166011421009898,0.000830057105049491,-100,600,125,0.625
8,200,4,8,8,200,100,300,13.1931389062665,0.977073826710694,3.28498018160462,0.0164249009080231,-100,600,125,0.625
9,200,4,9,9,200,100,300,5.2825153239537,2.00628761353437,1.22399542666972,0.00611997713334858,-100,600,125,0.625
10,200,4,10,10,200,100,300,9.55048238486052,2.36760065588169,0.418497320264578,0.00209248660132289,-100,600,125,0.625
11,200,4,11,11,200,100,300,2.07713233865798,0.703432924230583,0.318711804226041,0.0015935590211302,-100,600,125,0.625
12,200,4,12,12,200,100,300,10.9942572184373,3.96148339728825,0.970649970695376,0.00485324985347688,-100,600,125,0.625
13,200,4,13,13,200,100,300,5.00462561054155,3.60508066171315,-0.0187278129160404,-9.36390645802021e-05,-100,600,125,0.625
14,200,4,14,14,200,100,300,13.0309220093768,0.934013178921305,0.665759854018688,0.00332879927009344,-100,600,125,0.625
15,200,4,15,15,200,100,300,3.99985812976956,3.74649928091094,2.03577198833227,0.0101788599416614,-100,600,125,0.625
16,200,4,16,16,200,100,300,6.63852109247819,1.16430747613776,-1.47805518098176,-0.00739027590490878,-100,600,125,0.625
17,200,4,17,17,200,100,300,9.08765855408274,3.32275460485835,-1.48080669157207,-0.00740403345786035,-100,600,125,0.625
18,200,4,18,18,200,100,300,2.01556897908449,2.59361332037952,1.09989850223064,0.00549949251115322,-100,600,125,0.625
19,200,4,19,19,200,100,300,6.13171836873516,3.02827025973238,-3.97194801084697,-0.0198597400542349,-100,600,125,0.625
20,200,4,20,20,200,100,300,2.22476159897633,1.96000897604972,3.73584174364805,0.0186792087182403,-100,600,125,0.625
21,200,4,21,21,200,100,300,6.4402543369215,2.36550980596803,2.95995480567217,0.0147997740283608,-100,600,125,0.625
22,200,4,22,22,200,100,300,6.46470439946279,1.21743023849558,1.89941900968552,0.00949709504842758,-100,600,125,0.625
23,200,4,23,23,200,100,300,5.02331501292065,1.70127793529537,-0.366074582561851,-0.00183037291280925,-100,600,125,0.625
24,200,4,24,24,200,100,300,2.79779476020485,2.53965310391504,-2.55004044435918,-0.0127502022217959,-100,600,125,0.625
25,200,4,25,25,200,100,300,7.36089127301238,2.51888789073564,2.15589414536953,0.0107794707268476,-100,600,125,0.625
26,200,4,26,26,200,100,300,4.41165830334648,3.12761818210129,0.974485563114285,0.00487242781557143,-100,600,125,0.625
27,200,4,27,27,200,100,300,7.33873682818376,1.51528998324648,1.64387497864664,0.00821937489323318,-100,600,125,0.625
28,200,4,28,28,200,100,300,3.82105112401769,3.96804121753667,2.28961223363876,0.0114480611681938,-100,600,125,0.625
29,200,4,29,29,200,100,300,2.07064871862531,3.15690875286236,-0.450307140126824,-0.00225153570063412,-100,600,125,0.625
30,200,4,30,30,200,100,300,9.82260460359976,2.86147736734711,0.07315868511796,0.0003657934255898,-100,600,125,0.625
31,200,4,31,31,200,100,300,13.843131654663,2.79096982430201,1.97345712035894,0.00986728560179472,-100,600,125,0.625
32,200,4,32,32,200,100,300,4.27971619134769,2.18330371705815,-1.79234715551138,-0.0089617357775569,-100,600,125,0.625
33,200,4,33,33,200,100,300,11.5054363717791,2.26397049776278,-3.20613302849233,-0.0160306651424617,-100,600,125,0.625
34,200,4,34,34,200,100,300,2.21004372532479,2.34523721889127,0.92876635491848,0.0046438317745924,-100,600,125,0.625
