ID,Site_name,Start_date,End_date,Value
1,Site A,700,775,11.5
2,Site A,475,649,18.7
3,Site A,625,700,12.7
4,Site A,675,774,7.3
5,Site B,100,499,14.5
6,Site D,225,675,19.3
7,Site B,350,675,20.3
8,Site B,300,774,17
9,Site A,625,750,13.4
10,Site D,625,800,9.2
11,Site C,625,724,14
12,Site D,575,700,10.4
13,Site C,650,799,6.7
14,Site D,625,675,20.5
15,Site A,400,475,18.9
16,Site A,200,424,16.2
17,Site B,350,375,19.5
18,Site D,450,475,18.7
19,Site B,600,700,13.7
20,Site B,125,574,18.2
21,Site C,700,799,8.7
22,Site C,225,724,20
23,Site A,100,650,18.3
24,Site A,425,524,25.1
25,Site C,475,724,13
26,Site D,500,699,12.1
27,Site A,350,575,20
28,Site C,525,575,18.1
29,Site A,650,675,13
30,Site A,125,575,16.2
31,Site D,325,499,16.9
32,Site B,175,374,16.7
33,Site D,575,724,11.6
34,Site D,450,524,17.4
35,Site C,250,275,12.4
36,Site B,500,525,18.4
37,Site A,200,524,20.7
38,Site B,625,650,13.2
39,Site D,575,775,13.3
40,Site B,525,575,16.1
41,Site C,300,575,20.5
42,Site C,350,500,19
43,Site B,225,450,17
44,Site B,325,650,17.3
45,Site D,300,475,15.6
46,Site D,650,700,16.4
47,Site D,550,650,16.3
48,Site B,300,575,16.8
49,Site B,350,500,18.3
50,Site A,550,574,13.8
51,Site D,600,675,18.5
52,Site A,175,525,20.6
53,Site D,325,599,19.3
54,Site B,625,775,11.9
55,Site D,700,750,8.8
56,Site B,625,850,8.3
57,Site C,500,825,9.9
58,Site D,600,799,9
59,Site C,375,549,24.1
60,Site A,600,750,11.2
61,Site A,225,524,18.7
62,Site B,450,700,16.7
63,Site B,300,625,23
64,Site B,325,700,17.6
65,Site B,675,849,6.6
66,Site B,525,725,17.8
67,Site D,650,699,10.3
68,Site C,250,724,17.8
69,Site B,425,749,12.4
70,Site A,375,625,16.1
71,Site B,600,699,11
72,Site C,550,575,18.3
73,Site B,325,749,20.7
74,Site B,700,750,11.6
75,Site B,700,750,8.9
76,Site D,200,425,15.6
77,Site A,125,300,9.2
78,Site A,150,450,13
79,Site A,125,425,15.8
80,Site C,425,625,15.9
81,Site D,475,550,23.8
82,Site A,175,399,14
83,Site B,675,850,9.6
84,Site A,600,824,8.3
85,Site A,675,875,7.4
86,Site D,225,300,9.7
87,Site D,575,674,13.1
88,Site A,600,699,13.5
89,Site C,575,624,15.7
90,Site C,350,425,16.9
91,Site A,100,675,16.9
92,Site D,425,649,16.7
93,Site A,100,475,17.9
94,Site D,175,549,15
95,Site D,400,625,18.4
96,Site B,225,475,22.1
97,Site A,625,749,10.7
98,Site D,375,525,16.6
99,Site B,250,325,12.5
100,Site B,375,550,21.2
101,Site B,200,700,19.1
102,Site D,525,775,11
103,Site A,250,325,13.3
104,Site B,400,774,15.7
105,Site A,625,775,14.5
106,Site B,125,549,16.5
107,Site D,150,324,14.6
108,Site C,100,400,14
109,Site D,450,700,15.8
110,Site A,575,700,9.2
111,Site D,350,499,18.5
112,Site A,300,625,18.7
113,Site D,625,750,11
114,Site C,325,524,23.1
115,Site B,250,674,25.7
116,Site B,550,625,19.3
117,Site C,525,575,17
118,Site A,700,774,5.1
