ID,Site_name,Start_date,End_date,Value
1,Site A,550,825,13.1
2,Site A,700,799,12.2
3,Site A,125,575,13.3
4,Site A,225,424,15.5
5,Site B,300,549,23
6,Site D,675,750,14.6
7,Site B,350,600,20.4
8,Site B,225,374,18.2
9,Site A,200,425,14.4
10,Site D,425,450,7.3
11,Site C,325,524,12.4
12,Site D,450,825,12.6
13,Site C,100,599,15.2
14,Site D,300,600,21.5
15,Site A,325,750,26.5
16,Site A,500,699,22.7
17,Site B,375,475,14.3
18,Site D,625,800,6.2
19,Site B,100,350,13.1
20,Site B,350,624,15.4
21,Site C,700,749,19.2
22,Site C,175,499,19.8
23,Site A,150,500,18.4
24,Site A,600,699,8
25,Site C,225,499,19.2
26,Site D,200,424,12.8
27,Site A,325,475,15.9
28,Site C,575,625,15.4
29,Site A,125,300,17.1
30,Site A,650,725,15.1
31,Site D,175,274,6.7
32,Site B,700,824,18.7
33,Site D,700,824,16.9
34,Site D,575,699,13.7
35,Site C,300,500,15.6
36,Site B,425,650,15.7
37,Site A,425,824,16.1
38,Site B,150,300,23.2
39,Site D,525,875,13.9
40,Site B,325,450,15.8
41,Site C,100,350,20.8
42,Site C,275,600,20.3
43,Site B,575,675,20.7
44,Site B,600,775,12.1
45,Site D,200,625,25
46,Site D,225,550,15.3
47,Site D,425,525,24.3
48,Site B,175,350,8.2
49,Site B,300,700,15.1
50,Site A,275,599,21.2
51,Site D,650,800,11.4
52,Site A,475,575,11.2
53,Site D,375,574,10.3
54,Site B,325,750,9.7
55,Site D,425,700,12.8
56,Site B,650,725,16.7
57,Site C,350,525,4.9
58,Site D,650,674,16.1
59,Site C,625,749,21.2
60,Site A,700,750,25.2
61,Site A,125,299,21.5
62,Site B,475,525,18.8
63,Site B,425,575,6.4
64,Site B,700,825,12
65,Site B,450,774,13.2
66,Site B,500,750,18.5
67,Site D,225,349,14.5
68,Site C,650,749,8.7
69,Site B,550,599,23.4
70,Site A,325,750,19.6
71,Site B,400,824,16.2
72,Site C,225,450,21.1
73,Site B,100,474,8.3
74,Site B,350,700,18.3
75,Site B,400,500,12.4
76,Site D,325,475,18.4
77,Site A,400,625,14.7
78,Site A,450,600,18.2
79,Site A,500,525,21.7
80,Site C,450,600,15
81,Site D,275,625,20.1
82,Site A,175,299,9.1
83,Site B,225,400,11.4
84,Site A,325,824,22.6
85,Site A,575,600,16.9
86,Site D,675,800,4.7
87,Site D,700,774,8.2
88,Site A,675,824,14
89,Site C,475,549,19.3
90,Site C,375,700,14.5
91,Site A,475,625,18.1
92,Site D,550,699,19.8
93,Site A,150,600,23.4
94,Site D,675,699,15.3
95,Site D,600,750,14.7
96,Site B,250,350,6.2
97,Site A,150,524,15.5
98,Site D,325,425,12.1
99,Site B,600,700,10.1
100,Site B,325,700,14.1
101,Site B,250,400,20.1
102,Site D,550,575,5
103,Site A,400,775,12.9
104,Site B,325,574,15.6
105,Site A,650,675,10.5
106,Site B,425,499,16.7
107,Site D,675,699,17.1
108,Site C,675,750,14.8
109,Site D,350,675,2.7
110,Site A,400,700,27.9
111,Site D,150,224,14
112,Site A,325,475,18.3
113,Site D,550,675,16.4
114,Site C,125,224,20.1
115,Site B,250,474,19.1
116,Site B,575,625,14
117,Site C,600,675,16.9
118,Site A,600,674,10.3
119,Site A,350,750,19.3
120,Site B,350,425,12.7
121,Site C,100,200,27.1
122,Site D,600,775,6.7
123,Site D,225,500,12.7
124,Site B,650,775,19.1
125,Site D,325,425,17.6
126,Site A,300,699,12.1
127,Site A,375,650,10
128,Site D,400,750,15.7
129,Site A,525,700,14.9
130,Site A,450,574,6
131,Site A,600,775,15.2
132,Site B,100,324,16
133,Site C,350,474,15.9
134,Site A,275,349,9.7
135,Site B,400,675,17.4
136,Site D,425,574,21.9
137,Site D,125,574,17.3
138,Site A,225,524,9.3
139,Site C,400,624,12.8
140,Site B,150,600,16.7
141,Site A,400,625,11.8
142,Site A,475,650,4.2
143,Site B,550,700,19.4
144,Site A,475,625,10.9
145,Site A,400,674,12.1
146,Site C,400,700,22.5
147,Site D,275,375,11.1
148,Site B,700,775,19.2
149,Site C,650,700,8.7
150,Site B,400,574,13.2
151,Site B,225,399,14.6
152,Site D,225,450,9.2
153,Site A,275,350,11.8
154,Site C,200,250,14.9
155,Site A,650,725,18.4
156,Site A,300,400,6.7
157,Site A,325,475,13.3
158,Site C,350,425,18.8
159,Site C,650,775,12.3
160,Site D,100,600,16.1
161,Site A,625,875,17.5
162,Site B,450,675,16.3
163,Site B,175,450,18.3
164,Site C,250,500,14.4
165,Site B,350,725,12.9
166,Site D,325,400,1.8
167,Site C,275,299,14.5
168,Site C,150,675,17.2
169,Site B,400,650,17.7
170,Site A,575,700,12.2
171,Site D,650,800,23.9
172,Site A,675,775,16.4
173,Site D,475,574,15.6
174,Site B,275,424,21.4
175,Site A,150,349,11.4
176,Site B,300,525,12.7
177,Site C,475,700,27
178,Site B,350,675,15.1
179,Site B,400,499,23.2
180,Site D,250,425,7.8
181,Site B,525,699,14
182,Site B,250,275,16.9
183,Site B,600,824,16.5
184,Site C,200,550,10
185,Site B,675,700,15.1
186,Site D,575,775,9.6
187,Site D,525,550,18.6
188,Site C,250,725,20.4
189,Site B,500,599,3.9
190,Site B,150,549,21.2
191,Site C,475,650,8.8
192,Site D,275,300,17.3
193,Site B,550,799,18.3
194,Site D,525,725,14
195,Site D,325,649,11.8
196,Site B,450,600,15.8
197,Site A,375,525,17.2
198,Site A,150,299,19.4
199,Site B,575,650,4.7
200,Site D,475,725,6.8
201,Site D,625,700,22.2
202,Site B,325,399,20.2
203,Site A,125,525,17.2
204,Site D,275,575,18.6
205,Site C,100,625,19.6
206,Site A,400,549,1.7
207,Site B,250,425,20.6
208,Site B,350,675,12.6
209,Site B,350,450,16.2
210,Site D,400,600,13.5
211,Site B,200,600,19.4
212,Site C,125,375,13.3
213,Site D,450,575,17.6
214,Site C,200,274,13
215,Site B,425,600,9.5
216,Site A,200,424,21.1
217,Site D,500,600,18.7
218,Site B,525,725,23.6
219,Site A,625,699,15.3
220,Site B,500,699,20.6
221,Site A,525,550,24.9
222,Site A,250,499,13.6
223,Site A,400,649,8.4
224,Site C,125,149,13.8
225,Site B,375,625,13.9
226,Site B,150,475,15.8
227,Site D,575,700,23.6
228,Site B,700,825,13.4
229,Site A,275,524,16.9
230,Site A,575,724,13.9
231,Site C,650,800,15.1
232,Site B,425,550,16.6
233,Site B,100,275,21.6
234,Site C,675,725,15.6
235,Site C,425,625,18.6
236,Site A,600,675,18.9
237,Site C,675,750,19.6
238,Site D,525,699,12.1
239,Site B,675,875,23.1
240,Site D,125,349,13.1
241,Site A,200,225,14.5
242,Site C,325,549,22
243,Site C,375,525,21.5
244,Site B,150,225,9.6
245,Site D,525,625,10.6
246,Site D,525,674,8.2
247,Site D,525,725,15.9
248,Site C,450,599,15.8
249,Site A,100,499,16.8
250,Site A,275,549,17.8
251,Site A,550,775,12
252,Site B,275,450,10
253,Site A,575,750,20.1
254,Site C,550,675,18.8
255,Site B,125,275,7.5
256,Site D,600,674,14.5
257,Site C,575,700,10.5
258,Site A,550,725,4.6
259,Site A,350,475,15.8
260,Site D,450,524,14.6
261,Site A,525,649,14.5
262,Site A,275,624,16.1
263,Site A,675,774,19.4
264,Site D,325,499,16
265,Site B,125,350,11.9
266,Site C,625,750,11.3
267,Site D,175,275,14.3
268,Site C,650,725,16.6
269,Site D,500,600,9.8
270,Site C,375,600,14.1
271,Site A,650,749,19.8
272,Site A,575,700,14.5
273,Site D,550,700,11.5
274,Site A,250,500,13.6
275,Site B,300,424,20.6
276,Site C,550,749,17.8
277,Site D,600,699,21.2
278,Site C,350,475,15.7
279,Site A,350,700,17.1
280,Site C,375,500,12.2
281,Site D,500,699,18
282,Site B,125,725,12.5
283,Site C,575,775,7.9
284,Site D,250,575,15.6
